Frame, Timestamp, Render Stars, Tonemapping, User Interface
280, 1781787696087345039, 5170, 289, 353
281, 1781787696094177207, 6079, 290, 350
282, 1781787696099750441, 5172, 288, 95
283, 1781787696106282290, 5170, 483, 808
284, 1781787696112232359, 5301, 291, 278
285, 1781787696117863871, 5169, 288, 87
286, 1781787696124804817, 5487, 686, 427
287, 1781787696130885206, 5171, 287, 278
288, 1781787696136809758, 5011, 286, 360
289, 1781787696143675479, 6151, 290, 349
290, 1781787696149469244, 5172, 288, 16
291, 1781787696155760240, 5165, 481, 600
292, 1781787696161952048, 5583, 287, 339
293, 1781787696167540969, 5161, 288, 88
294, 1781787696174355361, 5378, 622, 666
295, 1781787696180111601, 5164, 292, 280
296, 1781787696185713591, 5169, 287, 82
297, 1781787696192935455, 6059, 407, 349
298, 1781787696198842133, 5160, 289, 279
299, 1781787696204805098, 5163, 288, 352
300, 1781787696211481972, 5864, 290, 339
301, 1781787696217113939, 5174, 287, 87
302, 1781787696223731487, 5381, 646, 501
303, 1781787696229846612, 5450, 290, 277
304, 1781787696235477887, 5172, 287, 81
305, 1781787696242673336, 5773, 685, 362
306, 1781787696248514656, 5018, 287, 279
307, 1781787696254390899, 5161, 287, 351
308, 1781787696261225224, 6062, 289, 350
309, 1781787696266817082, 5170, 288, 88
310, 1781787696273679643, 5540, 642, 494
311, 1781787696279640007, 5286, 292, 279
312, 1781787696285267247, 5168, 289, 83
313, 1781787696292417728, 5750, 680, 421
314, 1781787696298383870, 5164, 288, 289
315, 1781787696304290667, 5161, 288, 353
316, 1781787696311220287, 6077, 290, 340
317, 1781787696316872779, 5167, 289, 81
318, 1781787696323199209, 5170, 592, 533
319, 1781787696329520238, 5705, 288, 289
320, 1781787696335263505, 5170, 287, 79
321, 1781787696342390375, 5779, 682, 410
322, 1781787696348486265, 5168, 291, 280
323, 1781787696354355047, 5014, 289, 359
324, 1781787696361094593, 6079, 286, 358
325, 1781787696366770944, 5167, 288, 16
326, 1781787696373156958, 5167, 592, 536
327, 1781787696379488584, 5691, 287, 349
328, 1781787696385110617, 5167, 291, 86
329, 1781787696392336739, 5767, 678, 423
330, 1781787696398316390, 5164, 288, 278
331, 1781787696404285505, 5170, 289, 352
332, 1781787696411110112, 6077, 286, 337
333, 1781787696416661625, 5167, 291, 77
334, 1781787696423144115, 5169, 475, 760
335, 1781787696429515410, 5675, 289, 289
336, 1781787696435111768, 5164, 291, 83
337, 1781787696442271335, 5777, 683, 425
338, 1781787696447991155, 5169, 289, 288
339, 1781787696453582219, 5174, 287, 85
340, 1781787696460737171, 6145, 290, 344
341, 1781787696466738739, 5169, 288, 279
342, 1781787696473093401, 5171, 604, 537
343, 1781787696479509241, 5667, 290, 348
344, 1781787696485107279, 5167, 290, 86
345, 1781787696492229486, 5764, 681, 420
346, 1781787696498244167, 5168, 289, 280
347, 1781787696504117034, 5015, 290, 352
348, 1781787696510937501, 6086, 292, 350
349, 1781787696516582203, 5173, 290, 16
350, 1781787696523027035, 5166, 485, 669
351, 1781787696529093538, 5422, 291, 338
352, 1781787696534690602, 5167, 287, 87
353, 1781787696541743699, 5770, 618, 409
354, 1781787696547763153, 5170, 289, 280
355, 1781787696553696534, 5165, 293, 366
356, 1781787696560575138, 6136, 291, 347
357, 1781787696566245440, 5166, 288, 16
358, 1781787696572768852, 5166, 485, 554
359, 1781787696578834543, 5307, 287, 349
360, 1781787696584434467, 5166, 290, 87
361, 1781787696591353843, 5501, 687, 445
362, 1781787696597434173, 5169, 289, 280
363, 1781787696603359777, 5162, 289, 352
364, 1781787696610334749, 6167, 290, 359
365, 1781787696615907160, 5164, 290, 16
366, 1781787696621863830, 5163, 289, 509
367, 1781787696628532621, 5868, 288, 336
368, 1781787696634066559, 5169, 288, 83
369, 1781787696640818836, 5401, 632, 641
370, 1781787696647046208, 5289, 289, 289
371, 1781787696652947553, 5019, 289, 362
372, 1781787696659815175, 6173, 290, 349
373, 1781787696665477856, 5170, 291, 15
374, 1781787696671522671, 5164, 287, 502
375, 1781787696678120520, 5887, 289, 351
376, 1781787696683729049, 5162, 287, 88
377, 1781787696690569945, 5409, 645, 501
378, 1781787696697058295, 5452, 289, 290
379, 1781787696702934276, 5012, 290, 343
380, 1781787696709846295, 6164, 407, 339
381, 1781787696715487106, 5166, 288, 16
382, 1781787696721516876, 5157, 289, 494
383, 1781787696728147718, 5893, 291, 352
384, 1781787696733771472, 5172, 288, 78
385, 1781787696740493094, 5387, 627, 509
386, 1781787696746447747, 5282, 289, 295
387, 1781787696752138657, 5170, 292, 87
388, 1781787696759262035, 5749, 677, 355
389, 1781787696765177837, 5010, 287, 280
390, 1781787696771037844, 5008, 288, 361
391, 1781787696777899693, 6103, 289, 350
392, 1781787696783488857, 5168, 291, 88
393, 1781787696789903833, 5189, 573, 539
394, 1781787696796220352, 5669, 290, 292
395, 1781787696801842358, 5172, 285, 82
396, 1781787696809005385, 5760, 678, 406
397, 1781787696815020489, 5164, 289, 289
398, 1781787696820858246, 5006, 288, 340
