Frame, Timestamp, Render Stars, Tonemapping, User Interface
223, 1781787695733100983, 18325, 45, 341
224, 1781787695739489430, 18982, 46, 339
225, 1781787695745662996, 18874, 45, 349
226, 1781787695751245172, 18518, 45, 340
227, 1781787695758224133, 18283, 45, 349
228, 1781787695764203820, 18336, 46, 341
229, 1781787695770104637, 18910, 45, 339
230, 1781787695776934516, 18739, 46, 349
231, 1781787695782593642, 18380, 46, 348
232, 1781787695788963687, 18861, 45, 338
233, 1781787695795162825, 18936, 45, 344
234, 1781787695800770603, 18573, 45, 337
235, 1781787695807592829, 18530, 44, 341
236, 1781787695813524975, 18305, 46, 351
237, 1781787695819175704, 18299, 46, 348
238, 1781787695826420907, 18613, 45, 338
239, 1781787695832419896, 18568, 47, 338
240, 1781787695838435736, 18239, 45, 338
241, 1781787695845021144, 18981, 45, 335
242, 1781787695850603604, 18562, 44, 356
243, 1781787695857246629, 18488, 45, 343
244, 1781787695863584687, 18935, 46, 338
245, 1781787695869402555, 18238, 45, 338
246, 1781787695876404812, 18848, 45, 340
247, 1781787695882037760, 18893, 46, 348
248, 1781787695888245790, 18806, 46, 340
249, 1781787695894967861, 18526, 44, 338
250, 1781787695900514789, 18228, 45, 348
251, 1781787695907253459, 18939, 45, 339
252, 1781787695913236236, 19033, 46, 338
253, 1781787695918877864, 18597, 46, 338
254, 1781787695925957289, 18867, 47, 337
255, 1781787695931999621, 18297, 45, 341
256, 1781787695937941917, 18312, 45, 341
257, 1781787695944717343, 18593, 46, 339
258, 1781787695950319824, 18233, 45, 338
259, 1781787695957007420, 18580, 45, 342
260, 1781787695963334584, 18606, 45, 340
261, 1781787695969233744, 18439, 46, 348
262, 1781787695976221798, 18577, 45, 338
263, 1781787695981869576, 18200, 45, 349
264, 1781787695988041215, 18634, 45, 339
265, 1781787695994738631, 18563, 45, 338
266, 1781787696000294935, 18234, 45, 339
267, 1781787696007093629, 18914, 45, 348
268, 1781787696013025038, 18499, 46, 350
269, 1781787696018669214, 18560, 45, 339
270, 1781787696025798051, 18488, 45, 339
271, 1781787696031740145, 18466, 45, 341
272, 1781787696037577926, 19018, 46, 337
273, 1781787696044380675, 18598, 46, 339
274, 1781787696049988018, 18935, 44, 349
275, 1781787696056476036, 18427, 46, 339
276, 1781787696062821153, 18481, 47, 348
277, 1781787696068438861, 18964, 45, 349
278, 1781787696075582103, 18491, 46, 338
279, 1781787696081425893, 18606, 45, 348
280, 1781787696087345039, 18202, 45, 338
281, 1781787696094177207, 18267, 47, 335
282, 1781787696099750441, 18439, 45, 342
283, 1781787696106282290, 18427, 45, 348
284, 1781787696112232359, 18437, 45, 340
285, 1781787696117863871, 18497, 45, 339
286, 1781787696124804817, 18567, 45, 336
287, 1781787696130885206, 18330, 45, 348
288, 1781787696136809758, 18526, 46, 340
289, 1781787696143675479, 18544, 45, 348
290, 1781787696149469244, 18252, 46, 339
291, 1781787696155760240, 18900, 45, 338
292, 1781787696161952048, 18938, 46, 336
293, 1781787696167540969, 18841, 46, 337
294, 1781787696174355361, 18518, 45, 339
295, 1781787696180111601, 18584, 45, 338
296, 1781787696185713591, 18915, 46, 338
297, 1781787696192935455, 18213, 45, 339
298, 1781787696198842133, 18940, 44, 340
299, 1781787696204805098, 18281, 46, 340
300, 1781787696211481972, 18501, 46, 342
301, 1781787696217113939, 18554, 45, 348
302, 1781787696223731487, 18817, 45, 341
303, 1781787696229846612, 18214, 45, 349
304, 1781787696235477887, 18538, 45, 339
305, 1781787696242673336, 18908, 47, 341
306, 1781787696248514656, 18918, 45, 338
307, 1781787696254390899, 18615, 44, 340
308, 1781787696261225224, 18527, 46, 349
309, 1781787696266817082, 18166, 45, 348
310, 1781787696273679643, 18276, 45, 338
311, 1781787696279640007, 18839, 45, 338
312, 1781787696285267247, 18946, 45, 341
313, 1781787696292417728, 18542, 45, 338
314, 1781787696298383870, 18236, 45, 342
315, 1781787696304290667, 18522, 46, 339
316, 1781787696311220287, 18245, 45, 337
317, 1781787696316872779, 18785, 45, 334
318, 1781787696323199209, 18551, 45, 340
319, 1781787696329520238, 18444, 45, 338
320, 1781787696335263505, 18545, 45, 339
321, 1781787696342390375, 18268, 46, 348
322, 1781787696348486265, 18578, 46, 338
323, 1781787696354355047, 18599, 45, 339
324, 1781787696361094593, 18192, 45, 337
325, 1781787696366770944, 18606, 45, 348
326, 1781787696373156958, 18850, 44, 339
327, 1781787696379488584, 18320, 44, 348
328, 1781787696385110617, 18582, 46, 340
329, 1781787696392336739, 19001, 46, 337
330, 1781787696398316390, 18475, 45, 340
331, 1781787696404285505, 18289, 45, 339
332, 1781787696411110112, 18331, 45, 339
333, 1781787696416661625, 18207, 45, 348
334, 1781787696423144115, 18807, 46, 338
335, 1781787696429515410, 18802, 45, 341
336, 1781787696435111768, 18263, 46, 349
337, 1781787696442271335, 18113, 45, 340
338, 1781787696447991155, 19021, 45, 340
339, 1781787696453582219, 18866, 46, 349
340, 1781787696460737171, 18251, 45, 349
341, 1781787696466738739, 18890, 46, 338
342, 1781787696473093401, 18896, 45, 339
343, 1781787696479509241, 18235, 45, 340
344, 1781787696485107279, 18882, 45, 349
345, 1781787696492229486, 18233, 45, 337
346, 1781787696498244167, 18265, 45, 338
347, 1781787696504117034, 18519, 46, 336
348, 1781787696510937501, 18395, 47, 335
349, 1781787696516582203, 18276, 46, 336
350, 1781787696523027035, 18185, 46, 341
351, 1781787696529093538, 18236, 46, 403
352, 1781787696534690602, 18635, 45, 341
353, 1781787696541743699, 18606, 45, 337
354, 1781787696547763153, 18564, 45, 339
355, 1781787696553696534, 18503, 45, 338
356, 1781787696560575138, 18337, 45, 339
357, 1781787696566245440, 18421, 46, 341
358, 1781787696572768852, 18639, 46, 340
359, 1781787696578834543, 18515, 45, 337
360, 1781787696584434467, 18227, 47, 340
361, 1781787696591353843, 18556, 44, 338
362, 1781787696597434173, 18516, 46, 351
363, 1781787696603359777, 18585, 45, 341
364, 1781787696610334749, 18209, 45, 341
365, 1781787696615907160, 18524, 44, 348
366, 1781787696621863830, 18551, 46, 342
367, 1781787696628532621, 18252, 45, 339
368, 1781787696634066559, 18213, 45, 338
369, 1781787696640818836, 18178, 45, 350
370, 1781787696647046208, 18215, 45, 340
371, 1781787696652947553, 18550, 46, 339
372, 1781787696659815175, 18639, 45, 341
373, 1781787696665477856, 18651, 46, 348
374, 1781787696671522671, 18534, 45, 339
375, 1781787696678120520, 18291, 45, 338
376, 1781787696683729049, 18540, 45, 337
377, 1781787696690569945, 18223, 45, 340
378, 1781787696697058295, 18481, 47, 339
379, 1781787696702934276, 18503, 45, 338
380, 1781787696709846295, 18534, 45, 339
381, 1781787696715487106, 18393, 46, 336
382, 1781787696721516876, 18491, 45, 349
383, 1781787696728147718, 18591, 45, 339
384, 1781787696733771472, 18463, 45, 341
385, 1781787696740493094, 18465, 45, 348
386, 1781787696746447747, 18583, 45, 349
387, 1781787696752138657, 18381, 45, 348
388, 1781787696759262035, 18223, 45, 338
389, 1781787696765177837, 18553, 45, 349
390, 1781787696771037844, 18571, 46, 335
391, 1781787696777899693, 18581, 45, 337
392, 1781787696783488857, 18276, 46, 336
393, 1781787696789903833, 18575, 45, 340
394, 1781787696796220352, 18617, 46, 347
395, 1781787696801842358, 18472, 45, 347
396, 1781787696809005385, 18257, 45, 348
397, 1781787696815020489, 18596, 45, 340
398, 1781787696820858246, 18510, 46, 341
399, 1781787696827750865, 18217, 45, 340
400, 1781787696833325907, 18407, 46, 338
401, 1781787696839762771, 18571, 45, 339
402, 1781787696845940663, 18225, 46, 339
403, 1781787696851576733, 18551, 45, 339
404, 1781787696858729817, 18528, 45, 342
405, 1781787696864703525, 18194, 46, 339
406, 1781787696870475160, 18246, 44, 341
407, 1781787696877381481, 18250, 45, 336
408, 1781787696883014517, 18577, 45, 340
409, 1781787696889319866, 18513, 45, 341
410, 1781787696895678129, 18482, 47, 335
411, 1781787696901283557, 18616, 44, 348
412, 1781787696908201301, 18543, 46, 337
413, 1781787696914186530, 18150, 46, 338
414, 1781787696920111034, 18397, 46, 338
415, 1781787696926975864, 18501, 45, 348
416, 1781787696932618015, 18201, 46, 339
417, 1781787696938939549, 18574, 46, 338
418, 1781787696945193814, 18504, 45, 341
419, 1781787696950814811, 18242, 45, 348
420, 1781787696957500398, 18437, 45, 336
421, 1781787696963535015, 18598, 45, 340
422, 1781787696969453180, 18577, 46, 341
423, 1781787696976460027, 18160, 45, 349
424, 1781787696982109218, 18412, 46, 338
425, 1781787696988190251, 18462, 44, 349
426, 1781787696994828084, 18253, 46, 336
427, 1781787697000386774, 18257, 46, 339
428, 1781787697007120915, 18615, 46, 337
429, 1781787697012876419, 18251, 45, 349
430, 1781787697018484264, 18212, 45, 349
431, 1781787697025632790, 18241, 45, 338
432, 1781787697031596596, 18443, 45, 339
433, 1781787697037487530, 18563, 45, 340
434, 1781787697044328259, 18287, 46, 336
435, 1781787697049926217, 18209, 45, 347
436, 1781787697056376426, 18334, 44, 339
437, 1781787697062558491, 18476, 46, 338
438, 1781787697068360645, 18507, 46, 339
439, 1781787697075534957, 18216, 45, 338
440, 1781787697081427361, 18521, 45, 338
441, 1781787697087367705, 18350, 46, 338
442, 1781787697094206093, 18467, 45, 349
443, 1781787697099799238, 18262, 44, 342
444, 1781787697106123378, 18184, 47, 337
445, 1781787697112491707, 18428, 46, 340
446, 1781787697118130864, 18397, 46, 336
447, 1781787697125277911, 18533, 45, 350
448, 1781787697131205597, 18357, 45, 342
449, 1781787697137079118, 18341, 45, 338
450, 1781787697144023524, 18560, 45, 339
451, 1781787697149642580, 18277, 46, 337
452, 1781787697155979810, 18350, 46, 335
453, 1781787697162485871, 18612, 45, 337
454, 1781787697168058017, 18185, 45, 349
455, 1781787697174881690, 18342, 46, 338
456, 1781787697180616084, 18527, 45, 348
457, 1781787697186266679, 18520, 46, 338
458, 1781787697193528658, 18219, 46, 341
459, 1781787697199536791, 18542, 45, 341
460, 1781787697205730562, 18492, 46, 338
461, 1781787697212251908, 18619, 45, 348
462, 1781787697217905103, 18516, 46, 339
463, 1781787697224755234, 18193, 45, 348
464, 1781787697230674771, 18266, 45, 337
465, 1781787697236533474, 18566, 47, 338
466, 1781787697243374242, 18426, 45, 349
467, 1781787697249043765, 18459, 45, 338
468, 1781787697255121892, 18582, 46, 350
469, 1781787697262054323, 18182, 47, 338
470, 1781787697267671559, 18484, 46, 341
471, 1781787697274450959, 18574, 45, 340
472, 1781787697280177719, 18538, 46, 341
473, 1781787697285813028, 18570, 45, 337
474, 1781787697292982722, 18313, 45, 339
475, 1781787697299022353, 18523, 44, 336
476, 1781787697304942655, 18541, 46, 337
477, 1781787697311953040, 18513, 46, 347
478, 1781787697317577637, 18540, 45, 336
479, 1781787697324268911, 18168, 45, 348
480, 1781787697330079926, 18202, 46, 338
481, 1781787697335710513, 18133, 46, 349
482, 1781787697342940619, 18463, 45, 350
483, 1781787697348921562, 18536, 45, 339
484, 1781787697354800666, 18471, 45, 351
485, 1781787697361451558, 18567, 46, 340
486, 1781787697367103454, 18445, 45, 340
487, 1781787697373796574, 18223, 44, 339
488, 1781787697379816748, 18460, 45, 338
489, 1781787697385736980, 18327, 45, 348
490, 1781787697392639736, 18528, 44, 338
491, 1781787697398312970, 18579, 45, 338
492, 1781787697404410891, 18247, 46, 337
493, 1781787697411311514, 18485, 46, 338
494, 1781787697416965887, 18409, 46, 336
495, 1781787697423772256, 18607, 46, 335
496, 1781787697429498392, 18218, 46, 339
497, 1781787697435155566, 18492, 45, 340
498, 1781787697442301796, 18251, 45, 338
499, 1781787697448305170, 19024, 46, 335
500, 1781787697454184183, 18530, 45, 337
501, 1781787697461003759, 18834, 46, 348
502, 1781787697466613438, 18631, 46, 350
503, 1781787697472939817, 18523, 47, 340
504, 1781787697479267918, 18549, 45, 342
505, 1781787697484913418, 18561, 45, 339
506, 1781787697492140547, 18482, 46, 341
507, 1781787697498140073, 18472, 45, 341
508, 1781787697504020372, 18506, 45, 338
509, 1781787697510893095, 18465, 46, 338
510, 1781787697516485601, 18180, 45, 341
511, 1781787697522900617, 18553, 45, 341
512, 1781787697529066297, 18890, 45, 341
513, 1781787697534684161, 18509, 45, 337
514, 1781787697541915921, 18450, 45, 341
515, 1781787697547936278, 18261, 45, 341
516, 1781787697553921948, 18250, 46, 348
517, 1781787697560812317, 18698, 45, 339
518, 1781787697566440153, 18603, 45, 339
519, 1781787697572866141, 18466, 45, 348
520, 1781787697579239157, 18502, 45, 339
521, 1781787697584822173, 18637, 45, 338
522, 1781787697591970514, 18475, 45, 341
523, 1781787697597957538, 18556, 45, 338
524, 1781787697603834032, 18511, 45, 349
525, 1781787697610746399, 18254, 45, 340
526, 1781787697616380208, 18509, 47, 338
527, 1781787697622743851, 18158, 46, 342
528, 1781787697629113367, 18248, 46, 341
529, 1781787697634709458, 18545, 45, 341
530, 1781787697641906951, 18580, 44, 340
531, 1781787697647878397, 18582, 46, 348
532, 1781787697653847262, 18339, 46, 338
533, 1781787697660777394, 18529, 45, 339
534, 1781787697666398939, 18418, 46, 336
535, 1781787697672770688, 18590, 45, 337
536, 1781787697679010458, 18206, 46, 336
537, 1781787697684632713, 18544, 45, 348
538, 1781787697691519816, 18523, 47, 336
539, 1781787697697243987, 18573, 45, 339
540, 1781787697702872993, 18635, 46, 339
541, 1781787697710247490, 18484, 44, 348
542, 1781787697716135296, 18224, 46, 340
543, 1781787697722385841, 18192, 45, 338
544, 1781787697728763085, 18547, 45, 340
545, 1781787697734372133, 18593, 45, 348
546, 1781787697741117520, 18420, 45, 341
547, 1781787697747151178, 18582, 45, 339
548, 1781787697753054788, 18185, 46, 337
549, 1781787697759925105, 17150, 44, 592
550, 1781787697765558796, 18307, 45, 343
551, 1781787697771681438, 18246, 47, 340
