Frame, Timestamp, Render Stars, Tonemapping, User Interface
240, 1781787695838435736, 2053, 291, 17
241, 1781787695845021144, 2122, 292, 191
242, 1781787695850603604, 2290, 293, 356
243, 1781787695857246629, 2126, 291, 280
244, 1781787695863584687, 1905, 291, 17
245, 1781787695869402555, 2137, 290, 17
246, 1781787695876404812, 2022, 288, 15
247, 1781787695882037760, 2215, 292, 82
248, 1781787695888245790, 2167, 291, 337
249, 1781787695894967861, 2175, 292, 284
250, 1781787695900514789, 1854, 292, 16
251, 1781787695907253459, 2113, 289, 16
252, 1781787695913236236, 1891, 290, 16
253, 1781787695918877864, 2288, 290, 16
254, 1781787695925957289, 2065, 293, 75
255, 1781787695931999621, 2195, 291, 347
256, 1781787695937941917, 2173, 290, 279
257, 1781787695944717343, 1939, 289, 16
258, 1781787695950319824, 2122, 288, 16
259, 1781787695957007420, 1965, 292, 16
260, 1781787695963334584, 2068, 290, 204
261, 1781787695969233744, 1972, 290, 351
262, 1781787695976221798, 2083, 292, 281
263, 1781787695981869576, 1875, 292, 17
264, 1781787695988041215, 2160, 290, 16
265, 1781787695994738631, 1880, 291, 17
266, 1781787696000294935, 2276, 293, 87
267, 1781787696007093629, 1940, 290, 87
268, 1781787696013025038, 1986, 292, 283
269, 1781787696018669214, 2119, 292, 280
270, 1781787696025798051, 2121, 291, 16
271, 1781787696031740145, 1864, 291, 17
272, 1781787696037577926, 2252, 291, 16
273, 1781787696044380675, 2066, 292, 76
274, 1781787696049988018, 1947, 293, 357
275, 1781787696056476036, 2079, 292, 284
276, 1781787696062821153, 2061, 318, 17
277, 1781787696068438861, 2075, 291, 16
278, 1781787696075582103, 1963, 289, 13
279, 1781787696081425893, 2060, 289, 220
280, 1781787696087345039, 2180, 290, 344
281, 1781787696094177207, 2170, 291, 278
282, 1781787696099750441, 1901, 291, 16
283, 1781787696106282290, 2113, 290, 16
284, 1781787696112232359, 1880, 292, 16
285, 1781787696117863871, 2339, 291, 87
286, 1781787696124804817, 2240, 291, 342
287, 1781787696130885206, 2190, 290, 281
288, 1781787696136809758, 1885, 291, 17
289, 1781787696143675479, 2093, 290, 18
290, 1781787696149469244, 1879, 291, 17
291, 1781787696155760240, 2263, 290, 17
292, 1781787696161952048, 2043, 293, 87
293, 1781787696167540969, 2164, 290, 349
294, 1781787696174355361, 2136, 289, 283
295, 1781787696180111601, 1923, 289, 17
296, 1781787696185713591, 2134, 291, 17
297, 1781787696192935455, 1972, 291, 17
298, 1781787696198842133, 2211, 291, 86
299, 1781787696204805098, 2189, 289, 344
300, 1781787696211481972, 2139, 292, 278
301, 1781787696217113939, 1886, 289, 17
302, 1781787696223731487, 2134, 290, 17
303, 1781787696229846612, 1876, 290, 17
304, 1781787696235477887, 2239, 290, 16
305, 1781787696242673336, 2075, 293, 75
306, 1781787696248514656, 2161, 291, 354
307, 1781787696254390899, 2139, 291, 281
308, 1781787696261225224, 2006, 320, 16
309, 1781787696266817082, 2084, 292, 16
310, 1781787696273679643, 1980, 292, 16
311, 1781787696279640007, 2228, 290, 82
312, 1781787696285267247, 2176, 291, 353
313, 1781787696292417728, 2126, 290, 282
314, 1781787696298383870, 1878, 290, 17
315, 1781787696304290667, 2218, 291, 17
316, 1781787696311220287, 1884, 290, 18
317, 1781787696316872779, 2259, 292, 88
318, 1781787696323199209, 2182, 290, 351
319, 1781787696329520238, 2136, 290, 285
320, 1781787696335263505, 1895, 291, 16
321, 1781787696342390375, 2087, 290, 15
322, 1781787696348486265, 1952, 290, 16
323, 1781787696354355047, 2061, 289, 17
324, 1781787696361094593, 2116, 290, 180
325, 1781787696366770944, 2323, 293, 349
326, 1781787696373156958, 2110, 290, 282
327, 1781787696379488584, 1896, 290, 16
328, 1781787696385110617, 2155, 290, 16
329, 1781787696392336739, 2026, 290, 14
330, 1781787696398316390, 2224, 293, 83
331, 1781787696404285505, 2166, 291, 345
332, 1781787696411110112, 2137, 290, 286
333, 1781787696416661625, 1887, 291, 17
334, 1781787696423144115, 2114, 288, 26
335, 1781787696429515410, 1914, 290, 16
336, 1781787696435111768, 2282, 291, 16
337, 1781787696442271335, 2061, 291, 76
338, 1781787696447991155, 2180, 290, 348
339, 1781787696453582219, 2165, 292, 278
340, 1781787696460737171, 1954, 291, 16
341, 1781787696466738739, 2143, 291, 17
342, 1781787696473093401, 1977, 288, 17
343, 1781787696479509241, 2067, 290, 221
344, 1781787696485107279, 2195, 291, 350
345, 1781787696492229486, 2142, 291, 280
346, 1781787696498244167, 1874, 290, 16
347, 1781787696504117034, 2098, 290, 17
348, 1781787696510937501, 1877, 291, 17
349, 1781787696516582203, 2226, 293, 77
350, 1781787696523027035, 2168, 292, 348
351, 1781787696529093538, 2189, 290, 280
352, 1781787696534690602, 1893, 291, 16
353, 1781787696541743699, 2087, 319, 16
354, 1781787696547763153, 2006, 292, 17
355, 1781787696553696534, 2264, 291, 17
356, 1781787696560575138, 1836, 291, 86
357, 1781787696566245440, 2115, 293, 353
358, 1781787696572768852, 2303, 291, 283
359, 1781787696578834543, 2011, 292, 21
360, 1781787696584434467, 1953, 291, 17
361, 1781787696591353843, 2294, 291, 16
362, 1781787696597434173, 2089, 293, 79
363, 1781787696603359777, 2083, 292, 343
364, 1781787696610334749, 2228, 290, 309
365, 1781787696615907160, 2065, 329, 15
366, 1781787696621863830, 2005, 291, 18
367, 1781787696628532621, 2224, 292, 17
368, 1781787696634066559, 1772, 289, 79
369, 1781787696640818836, 1994, 291, 349
370, 1781787696647046208, 2154, 291, 279
371, 1781787696652947553, 1967, 292, 17
372, 1781787696659815175, 2111, 291, 16
373, 1781787696665477856, 1971, 289, 18
374, 1781787696671522671, 2066, 292, 75
375, 1781787696678120520, 2178, 290, 350
376, 1781787696683729049, 2136, 292, 285
377, 1781787696690569945, 1885, 290, 17
378, 1781787696697058295, 2190, 289, 17
379, 1781787696702934276, 1959, 291, 14
380, 1781787696709846295, 2123, 290, 201
381, 1781787696715487106, 2204, 289, 336
382, 1781787696721516876, 2149, 293, 279
383, 1781787696728147718, 1885, 290, 17
384, 1781787696733771472, 2130, 291, 16
385, 1781787696740493094, 1894, 289, 16
386, 1781787696746447747, 2278, 290, 16
387, 1781787696752138657, 1961, 292, 76
388, 1781787696759262035, 1921, 292, 87
389, 1781787696765177837, 1978, 289, 283
390, 1781787696771037844, 2238, 319, 345
391, 1781787696777899693, 1874, 290, 16
392, 1781787696783488857, 1977, 290, 18
393, 1781787696789903833, 2067, 294, 87
394, 1781787696796220352, 1952, 290, 87
395, 1781787696801842358, 1989, 292, 283
396, 1781787696809005385, 2128, 291, 391
397, 1781787696815020489, 2155, 290, 17
398, 1781787696820858246, 1988, 293, 17
399, 1781787696827750865, 2074, 292, 215
400, 1781787696833325907, 2193, 290, 351
401, 1781787696839762771, 2126, 291, 282
402, 1781787696845940663, 1891, 290, 17
403, 1781787696851576733, 2160, 290, 16
404, 1781787696858729817, 1893, 290, 15
405, 1781787696864703525, 2252, 292, 87
406, 1781787696870475160, 1917, 291, 344
407, 1781787696877381481, 2053, 291, 288
408, 1781787696883014517, 1895, 292, 16
409, 1781787696889319866, 2098, 291, 17
410, 1781787696895678129, 1864, 289, 16
411, 1781787696901283557, 2042, 291, 17
412, 1781787696908201301, 2155, 290, 87
413, 1781787696914186530, 1910, 291, 353
414, 1781787696920111034, 2074, 291, 286
415, 1781787696926975864, 1906, 291, 16
416, 1781787696932618015, 2135, 291, 17
417, 1781787696938939549, 1886, 289, 17
418, 1781787696945193814, 2256, 292, 204
419, 1781787696950814811, 2179, 291, 357
420, 1781787696957500398, 2163, 290, 283
421, 1781787696963535015, 1891, 289, 17
422, 1781787696969453180, 2106, 288, 17
423, 1781787696976460027, 1875, 290, 16
424, 1781787696982109218, 2254, 291, 16
425, 1781787696988190251, 2300, 291, 350
426, 1781787696994828084, 2182, 292, 344
427, 1781787697000386774, 1899, 290, 17
428, 1781787697007120915, 1963, 290, 17
429, 1781787697012876419, 2132, 291, 17
430, 1781787697018484264, 1965, 293, 17
431, 1781787697025632790, 2219, 291, 75
432, 1781787697031596596, 2164, 290, 339
433, 1781787697037487530, 2128, 291, 279
434, 1781787697044328259, 1873, 290, 16
435, 1781787697049926217, 2139, 290, 17
436, 1781787697056376426, 1850, 289, 16
437, 1781787697062558491, 2246, 292, 16
438, 1781787697068360645, 2098, 289, 209
439, 1781787697075534957, 2175, 291, 358
440, 1781787697081427361, 2124, 290, 277
441, 1781787697087367705, 1933, 289, 17
442, 1781787697094206093, 2129, 290, 16
443, 1781787697099799238, 1974, 292, 17
444, 1781787697106123378, 2248, 292, 82
445, 1781787697112491707, 2164, 293, 355
446, 1781787697118130864, 2144, 290, 282
447, 1781787697125277911, 1887, 291, 17
448, 1781787697131205597, 2211, 289, 16
449, 1781787697137079118, 1870, 291, 16
450, 1781787697144023524, 2246, 292, 79
451, 1781787697149642580, 2192, 291, 350
452, 1781787697155979810, 2152, 292, 288
453, 1781787697162485871, 1885, 291, 17
454, 1781787697168058017, 2117, 289, 17
455, 1781787697174881690, 1865, 291, 16
